Time_Second,Machine_Type,Air_temperature,Process_temperature,Rotational_speed,Torque,Tool_wear,Machine_failure
0,L (Low),298.3,308.1,1672,41.3,0,0
1,M (Medium),297.6,309.2,1442,48.1,0,0
2,M (Medium),300.6,311.9,1629,35.3,0,0
3,M (Medium),298.2,308.7,1361,44.2,0,0
4,L (Low),297.4,308.4,1571,39.4,0,0
5,M (Medium),298.6,309.6,1525,42.4,2,0
6,H (High),302.8,312.5,1422,46.1,4,0
7,L (Low),300.0,311.4,1634,31.9,0,0
8,M (Medium),296.7,307.8,1286,60.5,0,0
9,M (Medium),302.1,310.6,1517,38.9,2,0
10,M (Medium),302.4,311.1,1366,54.4,0,0
11,M (Medium),301.2,311.5,1498,49.5,3,0
12,M (Medium),298.3,309.1,1632,32.7,0,0
13,H (High),300.5,311.2,1397,45.2,2,0
14,L (Low),298.5,309.7,1613,36.7,0,0
15,L (Low),302.7,310.6,1501,48.7,4,0
16,L (Low),297.5,308.2,1647,31.3,3,0
17,L (Low),297.5,308.8,1309,57.3,0,0
18,M (Medium),303.9,313.2,1350,47.2,2,0
19,L (Low),297.9,308.1,1531,40.8,2,0
20,H (High),298.3,308.0,1637,30.8,2,0
21,L (Low),298.0,308.1,1877,24.3,0,0
22,M (Medium),301.2,311.1,1574,34.3,4,0
23,L (Low),299.2,309.0,1408,47.2,0,0
24,L (Low),297.5,308.6,1585,37.6,2,0
25,M (Medium),303.7,313.0,1303,54.4,2,0
26,H (High),296.4,307.4,1586,35.5,0,0
27,M (Medium),300.8,310.4,1288,64.0,3,0
28,L (Low),300.3,309.9,1377,55.3,4,0
29,H (High),303.7,312.9,1460,49.8,2,0
30,L (Low),298.8,310.6,1651,33.3,0,0
31,M (Medium),302.0,310.8,1609,35.2,4,0
32,H (High),299.4,309.3,1743,28.2,0,0
33,M (Medium),298.5,309.6,1509,47.3,2,0
34,M (Medium),298.1,308.7,1547,38.9,0,0
35,M (Medium),300.8,310.3,1458,43.4,0,0
36,L (Low),297.8,307.3,1438,44.5,3,0
37,L (Low),303.3,311.4,1958,21.5,0,0
38,M (Medium),301.3,311.5,1648,32.4,0,0
39,L (Low),297.1,308.4,1583,31.9,2,0
40,H (High),302.2,311.3,1758,26.4,4,0
41,H (High),299.0,310.2,1744,31.5,0,0
42,L (Low),299.2,309.1,1387,48.7,4,0
43,H (High),298.7,310.2,1613,36.0,0,0
44,L (Low),302.3,311.5,1387,47.3,2,0
45,L (Low),302.3,311.6,1544,34.3,0,0
46,L (Low),299.7,310.3,1386,46.6,2,0
47,L (Low),300.0,309.1,1401,44.5,0,0
48,L (Low),301.7,310.9,1557,39.4,2,0
